"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPPER","2022-06-26","409.8","434","403","434","7.96 %","82,474.00"
"UPPER","2022-06-24","405","406","376","402","0.75 %","59,523.00"
"UPPER","2022-06-23","402.8","411","398","399","-2.92 %","45,200.00"
"UPPER","2022-06-22","431.9","431.9","408","411","-3.75 %","31,374.00"
"UPPER","2022-06-21","402.8","429.9","402.8","427","3.89 %","44,120.00"
"UPPER","2022-06-20","425.4","433","403.5","411","-5.30 %","76,199.00"
"UPPER","2022-06-19","445","454","433.6","434","-4.19 %","45,345.00"
"UPPER","2022-06-17","463","465","453","453","-1.09 %","25,499.00"
"UPPER","2022-06-16","452","463.6","452","458","0.44 %","27,851.00"
"UPPER","2022-06-15","464","465","452","456","-2.98 %","51,795.00"
"UPPER","2022-06-14","477","480","467","470","-2.29 %","45,418.00"
"UPPER","2022-06-13","487","487","478.1","481","-0.21 %","18,367.00"
"UPPER","2022-06-10","480","488","479","482","-0.80 %","39,001.00"
"UPPER","2022-06-09","502","502","485","485.9","-1.64 %","43,896.00"
"UPPER","2022-06-08","479.9","498.9","479.9","494","2.94 %","48,824.00"
"UPPER","2022-06-07","488.2","495","478.6","479.9","-1.70 %","40,423.00"
"UPPER","2022-06-06","494","504","488.2","488.2","-0.06 %","50,315.00"
"UPPER","2022-06-03","492","495","485","488.5","-0.61 %","47,862.00"
"UPPER","2022-06-02","500","504","491.1","491.5","-0.71 %","44,297.00"
"UPPER","2022-06-01","491","500","490","495","1.02 %","34,561.00"
"UPPER","2022-05-31","500","503","487.4","490","-1.90 %","60,682.00"
"UPPER","2022-05-30","516","516","496","499.5","-2.99 %","60,657.00"
"UPPER","2022-05-27","533","533","513","514.9","-3.21 %","57,851.00"
"UPPER","2022-05-26","540.4","540.4","524","532","0.40 %","53,342.00"
"UPPER","2022-05-25","514","542.2","514","529.9","4.13 %","157,167.00"
"UPPER","2022-05-24","490","510","483","508.9","5.58 %","92,503.00"
"UPPER","2022-05-23","491","495","481","482","-2.63 %","49,709.00"
"UPPER","2022-05-20","500","500","486","495","0.22 %","37,034.00"
"UPPER","2022-05-19","505","510","490.2","493.9","-1.81 %","42,783.00"
"UPPER","2022-05-18","495","509.5","488.2","503","0.01 %","51,703.00"
"UPPER","2022-05-17","521","521","495","497","-6.40 %","103,266.00"
"UPPER","2022-05-12","544","544.9","525","531","-1.37 %","46,687.00"
"UPPER","2022-05-11","520","544.9","518","538.4","3.94 %","62,583.00"
"UPPER","2022-05-10","495","522.2","495","518","3.19 %","33,594.00"
"UPPER","2022-05-09","508.9","516","498","502","0.60 %","35,162.00"
"UPPER","2022-05-08","484","510","484","499","1.42 %","36,893.00"
"UPPER","2022-05-05","498","501","490","492","-1.80 %","55,139.00"
"UPPER","2022-05-04","508.1","515","500","501","-1.38 %","39,716.00"
"UPPER","2022-05-02","525","525","501","508","-2.50 %","52,297.00"
"UPPER","2022-04-28","525","532.4","517.5","521","-0.19 %","35,169.00"
"UPPER","2022-04-27","515","526.8","515","522","0.00 %","22,682.00"
"UPPER","2022-04-26","530","539","521","522","-1.62 %","28,507.00"
"UPPER","2022-04-25","550","560","530","530.6","-3.53 %","63,638.00"
"UPPER","2022-04-24","518","555","508","550","8.06 %","63,796.00"
"UPPER","2022-04-21","495.9","516","495.9","509","0.59 %","43,494.00"
"UPPER","2022-04-20","520","525","504.8","506","-2.69 %","44,722.00"
"UPPER","2022-04-19","520","526","507","520","0.19 %","46,926.00"
"UPPER","2022-04-18","537","537.2","519","519","-3.35 %","68,250.00"
"UPPER","2022-04-17","540.2","562","535.5","537","-1.30 %","43,600.00"
"UPPER","2022-04-13","542","549.8","535","544.1","0.39 %","40,604.00"
"UPPER","2022-04-12","551","555","540","542","-1.81 %","55,281.00"
"UPPER","2022-04-11","575.7","585","551","552","-2.21 %","55,234.00"
"UPPER","2022-04-07","556","573","556","564.5","0.98 %","55,811.00"
"UPPER","2022-04-06","560.1","569","555","559","-1.41 %","51,050.00"
"UPPER","2022-04-05","573","575","560","567","-1.90 %","69,139.00"
"UPPER","2022-04-04","581","585","575","578","-0.52 %","29,882.00"
"UPPER","2022-04-03","589","590","575.1","581","-0.68 %","27,141.00"
"UPPER","2022-03-31","603","603","584","585","-1.68 %","34,295.00"
"UPPER","2022-03-30","583","600","580","595","2.41 %","42,500.00"
"UPPER","2022-03-29","587","597.7","581","581","-0.85 %","37,124.00"
"UPPER","2022-03-28","591","599","584","586","-0.85 %","62,385.00"
"UPPER","2022-03-27","604.1","607","590.2","591","-2.64 %","70,884.00"
"UPPER","2022-03-24","611","614","602","607","-0.65 %","54,307.00"
"UPPER","2022-03-23","616","617","610","611","-1.13 %","41,292.00"
"UPPER","2022-03-22","613","624.9","613","618","0.82 %","62,258.00"
"UPPER","2022-03-21","603","618","601","613","1.91 %","59,206.00"
"UPPER","2022-03-20","608","615","600","601.5","0.70 %","44,652.00"
"UPPER","2022-03-16","616","616","597.2","597.3","-1.11 %","68,527.00"
"UPPER","2022-03-15","617","624","600.8","604","-2.11 %","102,188.00"
"UPPER","2022-03-14","626","630","613","617","-1.12 %","37,084.00"
"UPPER","2022-03-13","620.5","627","611","624","1.98 %","93,478.00"
"UPPER","2022-03-10","595","614.9","580","611.9","4.22 %","99,110.00"
