"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RHGCL","2023-04-24","285","291.7","284.5","287.1","-0.97 %","3,931.00"
"RHGCL","2023-04-25","281.5","295.5","278.1","295.5","2.93 %","5,175.00"
"RHGCL","2023-04-26","290","296","285","289","-2.20 %","5,808.00"
"RHGCL","2023-04-27","283.6","287","282","285","-1.38 %","3,958.00"
"RHGCL","2023-04-30","279.3","283","271","279","-2.11 %","10,860.00"
"RHGCL","2023-05-02","273.6","280","268.5","273.3","-2.04 %","3,383.00"
"RHGCL","2023-05-03","273.3","273.4","265.1","270","-1.21 %","4,080.00"
"RHGCL","2023-05-04","266.1","277","262.7","276.2","2.30 %","3,230.00"
"RHGCL","2023-05-07","271","279","258.1","262","-5.14 %","7,025.00"
"RHGCL","2023-05-08","267","272","245","259","-1.15 %","6,570.00"
"RHGCL","2023-05-09","253.9","263.9","248.9","253","-2.32 %","3,666.00"
"RHGCL","2023-05-10","250.3","260.1","250.2","253","0.00 %","2,050.00"
"RHGCL","2023-05-11","248.5","255.1","245","252.9","-0.04 %","5,840.00"
"RHGCL","2023-05-14","249","258.9","238.6","249.9","-1.19 %","8,295.00"
"RHGCL","2023-05-15","245","268.2","240","265","0.06 %","24,921.00"
"RHGCL","2023-05-16","269.9","279.9","260","277","4.53 %","11,752.00"
"RHGCL","2023-05-17","271.5","286.5","269","286.5","3.43 %","9,360.00"
"RHGCL","2023-05-18","283","291.5","272.1","291.5","1.75 %","20,428.00"
"RHGCL","2023-05-21","295","295","274","280","-3.95 %","21,168.00"
"RHGCL","2023-05-22","274.5","280","266.6","275","-1.79 %","7,915.00"
"RHGCL","2023-05-23","275","286","272.6","283.5","3.09 %","22,883.00"
"RHGCL","2023-05-24","278","284","273.5","280.8","-0.95 %","7,417.00"
"RHGCL","2023-05-28","275.4","283.7","270","274.5","-2.24 %","9,406.00"
"RHGCL","2023-05-30","274.5","274.5","263.2","263.8","-3.90 %","9,710.00"
"RHGCL","2023-05-31","258.7","261","247","249","-5.61 %","13,639.00"
"RHGCL","2023-06-01","244.1","255","241.5","253","1.61 %","10,411.00"
"RHGCL","2023-06-04","254","270.5","254","267.6","5.77 %","8,325.00"
"RHGCL","2023-06-05","272.9","273","258","262.4","-1.94 %","15,314.00"
"RHGCL","2023-06-06","258","272","257","269","2.52 %","10,294.00"
"RHGCL","2023-06-07","272","280.3","266.6","272","1.12 %","12,331.00"
"RHGCL","2023-06-08","268","275.9","267.4","269.2","-1.03 %","9,211.00"
"RHGCL","2023-06-11","266","280","265","279.9","3.97 %","13,017.00"
"RHGCL","2023-06-12","280","281.9","275.1","276.2","-1.32 %","15,457.00"
"RHGCL","2023-06-13","270.7","289.9","270.7","289.9","4.96 %","19,718.00"
"RHGCL","2023-06-14","289.9","298","282","286","-1.35 %","19,436.00"
"RHGCL","2023-06-15","291.7","291.7","274.6","280","-2.10 %","18,787.00"
"RHGCL","2023-06-18","280","296","279","288","2.86 %","10,382.00"
"RHGCL","2023-06-19","288","297.2","276.7","290","0.69 %","10,120.00"
"RHGCL","2023-06-20","284.2","295.3","279","289","-0.34 %","12,727.00"
"RHGCL","2023-06-21","294.7","294.7","273.3","277.7","-3.91 %","15,010.00"
"RHGCL","2023-06-22","272.2","283.2","258","263.1","-5.26 %","23,887.00"
"RHGCL","2023-06-25","259","275","259","268","1.86 %","15,360.00"
"RHGCL","2023-06-26","273.3","278","260.5","263","-1.87 %","11,593.00"
"RHGCL","2023-06-27","258","283.5","258","283.5","7.79 %","8,240.00"
"RHGCL","2023-06-28","289.1","289.1","267.7","271.8","-4.13 %","9,558.00"
"RHGCL","2023-07-02","266.4","270","255","259","-4.71 %","11,239.00"
"RHGCL","2023-07-03","254.1","259","247.3","252","-2.70 %","12,959.00"
"RHGCL","2023-07-04","257","260","247.2","255","1.19 %","7,820.00"
"RHGCL","2023-07-05","255","260","242.3","253.9","-0.43 %","7,579.00"
"RHGCL","2023-07-06","248.9","253","241.2","244","-3.90 %","5,565.00"
"RHGCL","2023-07-09","240.1","260","240.1","253.8","4.02 %","6,860.00"
"RHGCL","2023-07-10","248.8","256.9","242.3","245","-3.47 %","4,917.00"
"RHGCL","2023-07-11","240.1","244","235.5","236","-3.67 %","15,865.00"
"RHGCL","2023-07-12","235","255","231.4","255","8.05 %","6,450.00"
"RHGCL","2023-07-13","260","265","239","248.5","-2.55 %","11,486.00"
"RHGCL","2023-07-16","243.6","247","236","247","-0.60 %","5,602.00"
"RHGCL","2023-07-17","242.1","250","233","249","0.81 %","11,362.00"
"RHGCL","2023-07-18","249","253","240.5","250.9","0.76 %","12,420.00"
"RHGCL","2023-07-19","245.9","250","240","246","-1.95 %","2,573.00"
"RHGCL","2023-07-20","242.1","254.9","238.4","247.9","0.77 %","11,850.00"
"RHGCL","2023-07-23","252","254","239","250","0.85 %","11,814.00"
"RHGCL","2023-07-24","245.1","258","245","253.9","1.56 %","7,267.00"
"RHGCL","2023-07-25","255","257","242","249","-1.93 %","9,075.00"
"RHGCL","2023-07-26","253","253","237","243","-2.41 %","31,835.00"
"RHGCL","2023-07-27","238.2","246","235","238.1","-2.02 %","4,469.00"
"RHGCL","2023-07-30","241","242","231","238","-0.04 %","9,279.00"
"RHGCL","2023-07-31","238","240","232","236.3","-0.71 %","3,974.00"
"RHGCL","2023-08-01","241","241","228.9","233.4","-1.23 %","6,693.00"
"RHGCL","2023-08-02","230","232","225.5","231","-1.03 %","6,260.00"
"RHGCL","2023-08-03","230","235","227","230","-0.43 %","2,280.00"
"RHGCL","2023-08-06","230","230","218.3","221.1","-3.87 %","3,040.00"
"RHGCL","2023-08-07","218","233","216.8","233","5.38 %","7,774.00"
"RHGCL","2023-08-08","237.6","237.6","216","225","-3.43 %","5,491.00"
"RHGCL","2023-08-09","220.6","233","214.3","232","3.11 %","4,435.00"
"RHGCL","2023-08-10","232","232","218.6","229.4","-1.12 %","2,380.00"
"RHGCL","2023-08-13","224.9","229.9","217.1","225","-1.92 %","6,427.00"
"RHGCL","2023-08-14","220.5","222","215.1","221.7","-1.47 %","9,307.00"
"RHGCL","2023-08-15","217.3","217.3","210","214","-3.47 %","4,072.00"
"RHGCL","2023-08-16","210.1","223","200.1","214","0.00 %","6,150.00"
"RHGCL","2023-08-17","210","216.9","205","205","-4.21 %","5,012.00"
"RHGCL","2023-08-20","204","210","197.7","199","-2.93 %","7,478.00"
"RHGCL","2023-08-21","199","201.1","193.2","199","0.00 %","8,322.00"
"RHGCL","2023-08-22","199","200","192.3","200","0.50 %","3,613.00"
"RHGCL","2023-08-23","200","212","197.3","208.9","4.45 %","4,952.00"
"RHGCL","2023-08-24","208.9","223.1","206","212.1","1.53 %","16,251.00"
"RHGCL","2023-08-27","207.9","211","202","208.9","-1.51 %","4,775.00"
"RHGCL","2023-08-28","208.9","215","201.2","211.9","1.44 %","5,470.00"
"RHGCL","2023-08-29","207.7","212","203.6","208","-1.84 %","4,451.00"
"RHGCL","2023-08-30","205","206","201.5","206","-0.96 %","1,728.00"
"RHGCL","2023-09-03","202","204.7","200.1","204","-0.97 %","3,812.00"
"RHGCL","2023-09-04","200","204.3","198","199.1","-2.40 %","1,990.00"
"RHGCL","2023-09-05","196","206.3","196","201","0.95 %","7,293.00"
"RHGCL","2023-09-07","197","205","196","198","-1.49 %","1,990.00"
"RHGCL","2023-09-10","195","204","195","203","2.53 %","2,850.00"
"RHGCL","2023-09-11","199","211","199","211","3.94 %","9,892.00"
"RHGCL","2023-09-12","207","212","199.3","205.9","-2.42 %","4,490.00"
"RHGCL","2023-09-13","209","212","199.1","212","2.96 %","6,705.00"
"RHGCL","2023-09-17","207.8","212.9","200","205.2","-3.21 %","14,737.00"
"RHGCL","2023-09-18","209","209","197.3","208.8","1.75 %","24,367.00"
"RHGCL","2023-09-19","211","229.6","205.2","228","9.20 %","25,285.00"
"RHGCL","2023-09-21","230","247.7","230","237","3.95 %","28,329.00"
"RHGCL","2023-09-24","235","239","222","227","-4.22 %","25,828.00"
"RHGCL","2023-09-25","222.6","245","221.5","233","2.64 %","10,110.00"
"RHGCL","2023-09-26","231.1","245","231.1","240.2","3.09 %","15,287.00"
"RHGCL","2023-09-27","235.5","240","227","227","-5.50 %","28,784.00"
"RHGCL","2023-10-01","223.3","235.5","221","221.2","-2.56 %","16,661.00"
"RHGCL","2023-10-02","218.4","233.5","214.2","226","2.17 %","15,757.00"
