"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AKPL","2019-06-13","184","187","184","184","-1.60 %","1,265.00"
"AKPL","2019-06-16","181","187","181","184","0.00 %","221.00"
"AKPL","2019-06-17","181","182","178","181","-1.63 %","221.00"
"AKPL","2019-06-18","172","183","172","180","-0.55 %","830.00"
"AKPL","2019-06-19","177","187","177","187","3.89 %","381.00"
"AKPL","2019-06-20","185","190","185","188","0.53 %","1,900.00"
"AKPL","2019-06-23","185","187","180","180","-4.26 %","2,557.00"
"AKPL","2019-06-24","180","190","180","190","5.56 %","9,312.00"
"AKPL","2019-06-25","187","188","182","182","-4.21 %","921.00"
"AKPL","2019-06-26","185","190","185","190","4.40 %","2,638.00"
"AKPL","2019-06-27","187","190","183","183","-3.68 %","547.00"
"AKPL","2019-06-30","185","189","183","189","3.28 %","1,489.00"
"AKPL","2019-07-01","190","190","184","189","0.00 %","1,955.00"
"AKPL","2019-07-02","186","187","184","184","-2.64 %","214.00"
"AKPL","2019-07-03","185","190","183","190","3.26 %","9,108.00"
"AKPL","2019-07-04","187","187","183","187","-1.58 %","325.00"
"AKPL","2019-07-07","187","187","182","182","-2.67 %","142.00"
"AKPL","2019-07-08","183","189","183","189","3.85 %","2,622.00"
"AKPL","2019-07-09","198","198","195","195","3.17 %","1,010.00"
"AKPL","2019-07-10","204","204","177","195","0.00 %","26,661.00"
"AKPL","2019-07-11","204","204","192","192","-1.54 %","20.00"
"AKPL","2019-07-14","189","189","177","180","-6.25 %","5,845.00"
"AKPL","2019-07-15","177","181","177","177","-1.67 %","3,453.00"
"AKPL","2019-07-16","175","188","174","188","6.21 %","3,457.00"
"AKPL","2019-07-17","185","185","175","180","-4.26 %","4,315.00"
"AKPL","2019-07-18","177","180","177","180","0.00 %","5,360.00"
"AKPL","2019-07-21","177","177","172","176","-2.22 %","2,957.00"
"AKPL","2019-07-22","173","179","173","175","-0.57 %","11,449.00"
"AKPL","2019-07-23","173","177","173","175","0.00 %","11,037.00"
"AKPL","2019-07-24","174","178","173","178","1.71 %","2,799.00"
"AKPL","2019-07-25","178","178","173","174","-2.25 %","1,303.00"
"AKPL","2019-07-28","171","173","170","173","-0.57 %","4,151.00"
"AKPL","2019-07-29","170","173","167","170","-1.73 %","972.00"
"AKPL","2019-07-30","167","173","167","171","0.59 %","3,127.00"
"AKPL","2019-07-31","170","173","169","169","-1.17 %","3,053.00"
"AKPL","2019-08-01","169","178","169","170","0.59 %","966.00"
"AKPL","2019-08-04","169","171","167","171","0.59 %","2,950.00"
"AKPL","2019-08-05","168","171","168","171","0.00 %","2,877.00"
"AKPL","2019-08-06","168","168","167","168","-1.75 %","1,981.00"
"AKPL","2019-08-07","166","172","165","169","0.60 %","344.00"
"AKPL","2019-08-08","166","169","165","167","-1.18 %","606.00"
"AKPL","2019-08-11","164","166","164","164","-1.80 %","1,301.00"
"AKPL","2019-08-12","162","165","162","164","0.00 %","574.00"
"AKPL","2019-08-13","164","167","163","165","0.61 %","3,690.00"
"AKPL","2019-08-14","163","165","162","162","-1.82 %","1,034.00"
"AKPL","2019-08-15","160","162","160","160","-1.23 %","749.00"
"AKPL","2019-08-18","161","161","157","158","-1.25 %","375.00"
"AKPL","2019-08-19","158","163","155","163","3.16 %","1,918.00"
"AKPL","2019-08-20","154","158","154","156","-4.29 %","553.00"
"AKPL","2019-08-21","153","161","152","161","3.21 %","5,578.00"
"AKPL","2019-08-22","158","159","154","159","-1.24 %","7,328.00"
"AKPL","2019-08-25","156","156","151","156","-1.89 %","321.00"
"AKPL","2019-08-26","153","159","150","159","1.92 %","1,176.00"
"AKPL","2019-08-27","157","157","153","153","-3.77 %","2,320.00"
"AKPL","2019-08-28","150","155","150","151","-1.31 %","4,560.00"
"AKPL","2019-08-29","151","151","149","151","0.00 %","1,057.00"
"AKPL","2019-09-01","151","155","151","155","2.65 %","5,681.00"
"AKPL","2019-09-02","155","155","147","149","-3.87 %","3,570.00"
"AKPL","2019-09-03","147","156","141","156","4.70 %","5,658.00"
"AKPL","2019-09-04","159","159","159","159","1.92 %","10.00"
"AKPL","2019-09-05","156","156","147","148","-6.92 %","3,387.00"
"AKPL","2019-09-08","150","150","146","148","0.00 %","2,638.00"
"AKPL","2019-09-09","148","148","144","146","-1.35 %","2,520.00"
"AKPL","2019-09-10","144","144","138","140","-4.11 %","7,880.00"
"AKPL","2019-09-11","140","144","139","144","2.86 %","653.00"
"AKPL","2019-09-12","151","151","135","137","-4.86 %","11,208.00"
"AKPL","2019-09-15","135","135","127","134","-2.19 %","3,744.00"
"AKPL","2019-09-16","135","135","129","130","-2.99 %","12,722.00"
"AKPL","2019-09-17","132","141","132","141","8.46 %","6,130.00"
"AKPL","2019-09-18","141","143","135","141","0.00 %","3,059.00"
"AKPL","2019-09-19","139","140","133","133","-5.67 %","1,581.00"
"AKPL","2019-09-22","131","133","131","132","-0.75 %","245.00"
"AKPL","2019-09-23","131","133","129","131","-0.76 %","2,356.00"
"AKPL","2019-09-24","130","131","130","130","-0.76 %","500.00"
"AKPL","2019-09-26","135","135","129","135","1.50 %","666.00"
"AKPL","2019-09-29","133","135","129","135","0.00 %","1,845.00"
"AKPL","2019-09-30","133","139","133","139","2.96 %","1,581.00"
"AKPL","2019-10-01","140","140","138","139","-0.71 %","1,730.00"
"AKPL","2019-10-02","138","138","138","138","-0.72 %","10.00"
"AKPL","2019-10-03","136","140","136","140","1.45 %","354.00"
"AKPL","2019-10-10","138","142","132","142","1.43 %","1,290.00"
"AKPL","2019-10-14","142","142","134","134","-5.63 %","289.00"
"AKPL","2019-10-15","134","136","134","136","1.49 %","2,025.00"
"AKPL","2019-10-16","134","134","134","134","-1.47 %","13.00"
"AKPL","2019-10-17","132","137","132","134","0.00 %","2,260.00"
"AKPL","2019-10-20","134","136","133","134","0.00 %","175.00"
"AKPL","2019-10-21","132","134","132","134","0.00 %","815.00"
"AKPL","2019-10-22","133","137","133","137","2.24 %","383.00"
"AKPL","2019-10-23","136","138","132","138","0.73 %","1,387.00"
"AKPL","2019-10-24","138","138","130","130","-5.80 %","1,460.00"
"AKPL","2019-10-31","128","131","127","129","-0.77 %","753.00"
"AKPL","2019-11-03","130","131","128","130","0.78 %","869.00"
"AKPL","2019-11-04","130","130","126","129","-0.77 %","4,854.00"
"AKPL","2019-11-05","129","130","127","129","0.00 %","1,825.00"
"AKPL","2019-11-06","131","131","129","129","0.00 %","172.00"
"AKPL","2019-11-07","127","129","127","129","0.00 %","417.00"
"AKPL","2019-11-10","128","128","125","125","-3.10 %","199.00"
